bas-engine-1  | 2026-06-24 12:21:56,896 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:56,966 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'user'
bas-engine-1  | 2026-06-24 12:21:56,976 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,044 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'file'
bas-engine-1  | 2026-06-24 12:21:57,055 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,072 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:21:57,083 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,111 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:21:57,122 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,220 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'path'
bas-engine-1  | 2026-06-24 12:21:57,230 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,266 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'input'
bas-engine-1  | 2026-06-24 12:21:57,276 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,331 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:21:57,341 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,357 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:21:57,369 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,468 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'name'
bas-engine-1  | 2026-06-24 12:21:57,478 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,653 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:21:57,675 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,786 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'q'
bas-engine-1  | 2026-06-24 12:21:57,798 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,892 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'search'
bas-engine-1  | 2026-06-24 12:21:57,904 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,937 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:21:57,948 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:57,977 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:21:57,987 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,254 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'user'
bas-engine-1  | 2026-06-24 12:21:58,265 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,352 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:21:58,363 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,406 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'path'
bas-engine-1  | 2026-06-24 12:21:58,416 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,475 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'file'
bas-engine-1  | 2026-06-24 12:21:58,486 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,583 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'input'
bas-engine-1  | 2026-06-24 12:21:58,594 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,632 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:21:58,642 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,708 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'name'
bas-engine-1  | 2026-06-24 12:21:58,718 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,810 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'q'
bas-engine-1  | 2026-06-24 12:21:58,818 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:21:58,822 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,831 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,855 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:21:58,865 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:58,930 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'search'
bas-engine-1  | 2026-06-24 12:21:58,941 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:21:59,038 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'user'
bas-engine-1  | 2026-06-24 12:21:59,049 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
